what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380159840625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159841766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159842686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159843044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159844014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159844022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159933484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380159934526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160095490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160096234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160097428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160098152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160361063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160363416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160373426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380160375538
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1380160382156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160382385
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1380160384062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160384450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160384613
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1380160385708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160386000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160386211
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1380160388179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160388768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160393294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160393557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160394797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160395062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160396085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160396327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160398875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160399996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160400246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160401814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160401934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160402891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160403118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380160403513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380160404443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160405368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160405489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160405712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160451814
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1380160453499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160453816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160454026
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1380160454972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160455280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160455464
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1380160456863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160457087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380160457292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160458309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160460748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160462426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160462734
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1380160463132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160463390
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1380160464422
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1380160464448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380160465754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1380160465778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380160466340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160466675
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1380160468268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1380160468555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1380160468923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380160469150
