what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1392261775692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392261783607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261784610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261818871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261819335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261819342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261944367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261947544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261951839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392261956918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261958795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261960701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1392261963844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392261964149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261966847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261971747
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392261974428
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1392261975278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261977599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261989352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392261992358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392261994988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392261995699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261996990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261998924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392261999764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262002882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262004955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262008595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1392262018346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392262018661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262021517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262033060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262033331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262053585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262056842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262060003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262060338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262062646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392262066827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392262071364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392262078775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392262080257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262082006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262084789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262086096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262087998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392262090812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392262094856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392262095422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392262095673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262096968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262350249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262350936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262427172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262428658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262456006
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1392262458516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262460080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262608990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262609976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262639222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262640092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262946794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392262947910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268288859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268290482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268297664
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1392268301439
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268303806
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1392268305741
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392268310320
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1392268310785
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392268312355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268315365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268321679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268322934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268328679
activated,editor,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.editors.CommonXmlEditor",1392268330174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392268331455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392268332972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392268333608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268334100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268337566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392268340800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392268347447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1392268349449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392268351935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268353385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268361695
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392268362698
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268362892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268366428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268367902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268368493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268370158
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268374446
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268374529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268377879
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268377879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1392268377955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268379455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268381924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268383002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268397267
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1392268401753
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1392268401789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268425135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268426929
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392268427968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392268434037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268434993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268445239
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392268446424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268454003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392268476071
