what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056606212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056606225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056608541
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388056608548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388056609734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388056609924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056610154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056618932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056621720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056623591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056623628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056631878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056632373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056751442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056752345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056776937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056777856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056777905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388056779127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388056779310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056779544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056784657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056788244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056817000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056818344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056858145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056860003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056863577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056866627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056936781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388056937887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388056938072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056938296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056961616
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388056966621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388056978822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057119821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057120911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057121116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057121126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057123603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057123673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057124830
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388057125611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388057126174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388057126351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388057126537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057127316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388057139138
