what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1386406333003
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1386406333019
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1386406333161
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1386406333187
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1386406333267
os,sysinfo,,,"win32",1386406333270
arch,sysinfo,,,"x86",1386406333270
ws,sysinfo,,,"win32",1386406333270
locale,sysinfo,,,"zh_CN",1386406333270
processors,sysinfo,,,"2",1386406333270
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386406333270
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1386406333270
java.specification.name,sysinfo,,,"Java Platform API Specification",1386406333270
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386406333270
java.specification.version,sysinfo,,,"1.6",1386406333270
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1386406333270
java.version,sysinfo,,,"1.6.0_17",1386406333270
java.vm.info,sysinfo,,,"mixed mode",1386406333270
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386406333270
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386406333270
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386406333270
java.vm.specification.version,sysinfo,,,"1.0",1386406333270
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1386406333270
java.vm.version,sysinfo,,,"14.3-b01",1386406333270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406333276
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386406333387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406333392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406333409
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1386406334164
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1386406334314
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386406334330
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1386406334404
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1386406334541
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1386406334909
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1386406334935
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1386406335549
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1386406335567
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1386406335600
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1386406335603
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1386406335764
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1386406336558
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1386406336575
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1386406336743
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1386406336744
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1386406337501
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1386406337520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406342259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406342908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1386406342923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1386406342923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406344585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406354967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1386406354972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1386406354972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406365964
started,bundle,org.eclipse.emf.common,2.8.0.v20130125-0546,"org.eclipse.emf.common",1386406366911
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1386406366933
started,bundle,org.eclipse.emf.ecore,2.8.3.v20130125-0546,"org.eclipse.emf.ecore",1386406367131
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1386406367161
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1386406367208
started,bundle,org.eclipse.emf.ecore.xmi,2.8.1.v20130125-0546,"org.eclipse.emf.ecore.xmi",1386406367227
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1386406367237
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1386406367327
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1386406367353
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1386406367379
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1386406367449
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1386406367615
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1386406367748
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1386406367892
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1386406367906
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1386406368017
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1386406368062
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1386406368645
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1386406369016
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1386406369158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406370080
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1386406370110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386406370110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406372172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386406398214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1386406398222
