what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1382320094710
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1382320094710
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1382320094758
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1382320094824
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1382320094855
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1382320094890
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1382320094926
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1382320094999
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1382320095107
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1382320095147
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1382320095241
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1382320095290
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1382320095332
started,bundle,jp.gr.java_conf.ussiy.app.propedit,6.0.0,"jp.gr.java_conf.ussiy.app.propedit",1382320095332
started,bundle,org.eclipse.team.svn.core,0.7.9.I20120316-1700,"org.eclipse.team.svn.core",1382320095524
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1382320095571
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20120316-1700,"org.eclipse.team.svn.ui",1382320095622
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.3.0.I20120316-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1382320095667
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1382320095693
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1382320095773
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1382320095803
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1382320095877
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1382320095879
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1382320095914
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1382320095943
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1382320095993
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1382320096078
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1382320096194
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1382320096224
os,sysinfo,,,"win32",1382320096227
arch,sysinfo,,,"x86",1382320096227
ws,sysinfo,,,"win32",1382320096227
locale,sysinfo,,,"zh_CN",1382320096227
processors,sysinfo,,,"2",1382320096227
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382320096227
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1382320096227
java.specification.name,sysinfo,,,"Java Platform API Specification",1382320096227
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382320096227
java.specification.version,sysinfo,,,"1.6",1382320096227
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1382320096227
java.version,sysinfo,,,"1.6.0_17",1382320096227
java.vm.info,sysinfo,,,"mixed mode",1382320096227
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382320096227
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382320096227
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382320096227
java.vm.specification.version,sysinfo,,,"1.0",1382320096227
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1382320096227
java.vm.version,sysinfo,,,"14.3-b01",1382320096227
